industry_sector,founding_team_size,initial_funding_usd,num_funding_rounds,market_type,country_region,num_competitors_proxy,year_founded,outcome,market_demand,pain_point_severity,idea_novelty,scalability,barriers_to_entry,revenue_model_strength,acquisition_difficulty,willingness_to_pay
Internet,1.0,28305854.0,3,Unknown,USA,626.0,1998,ipo,8,6,7,8,7,8,4,7
Mobile,3.0,12500000.0,2,Unknown,CAN,1737.0,2006,failed,6,4,3,7,4,5,7,5
Biotechnology,2.0,27900000.0,1,Unknown,CAN,1511.0,2013,ipo,9,9,6,7,8,10,5,9
Financial Exchanges,2.0,1350000.0,1,Unknown,USA,1511.0,2013,active,6,5,3,6,4,6,6,6
Software,2.0,3000000.0,1,Unknown,CAN,2862.0,2000,acquired,7,5,5,8,4,7,6,6
Web Hosting,1.0,15000000.0,1,Unknown,USA,771.0,2005,failed,6,4,5,5,6,5,6,5
Social Media,2.0,685000.0,2,B2C,USA,898.0,2011,active,6,4,4,8,3,6,9,5
E-Commerce,1.0,798000.0,1,B2C,DEU,1832.0,2005,active,7,5,4,8,4,6,7,6
Health Care,2.0,252000000.0,3,Unknown,USA,1126.0,2010,ipo,10,8,4,8,6,10,5,9
Maps,2.0,5000000.0,3,Unknown,USA,123.0,2010,active,7,5,6,7,6,7,5,6
Enterprise Software,1.0,13000000.0,1,B2B,USA,477.0,2000,active,7,6,7,9,6,10,3,10
Clean Technology,2.0,2300000.0,1,Unknown,USA,682.0,2007,failed,6,8,6,4,8,5,6,5
Hardware + Software,1.0,2076178.0,2,Unknown,USA,972.0,2009,active,7,5,4,8,7,6,6,6
Advertising Platforms,2.0,740000.0,2,Unknown,USA,1511.0,2013,active,6,5,3,8,4,6,6,6
Health And Wellness,2.0,61500000.0,5,B2C,USA,1236.0,2007,ipo,10,8,4,8,6,10,6,9
News,2.0,4575000.0,3,B2C,USA,163.0,2007,active,8,5,6,7,6,7,6,6
Training,2.0,260000.0,1,Unknown,USA,124.0,1999,acquired,7,5,8,6,6,6,5,6
Interest Graph,2.0,825000.0,1,Unknown,USA,3186.0,2011,active,6,5,4,6,4,6,6,6
Enterprise Software,3.0,4415653.0,2,B2B,USA,2008.0,2011,acquired,8,6,4,9,4,10,4,10
Software,2.0,20118.0,1,Unknown,IRL,1703.0,2012,active,6,5,3,7,4,6,6,5
Advertising Platforms,2.0,2200000.0,2,Unknown,FRA,2664.0,2012,active,7,5,3,8,4,6,6,6
Internet,1.0,3800000.0,2,Unknown,CAN,2710.0,2007,failed,6,4,3,5,4,5,7,5
Twitter Applications,2.0,255000.0,1,Unknown,USA,9634.0,2010,failed,5,4,3,5,4,5,7,5
Banking,2.0,52800000.0,1,Unknown,USA,1511.0,1997,ipo,8,6,6,7,6,8,5,7
Biotechnology,2.0,9250150.0,1,Unknown,USA,1264.0,2009,acquired,8,9,6,6,7,9,6,9
Security,1.0,9500000.0,1,B2B,USA,329.0,2012,acquired,9,8,5,8,6,10,3,10
Health Care,2.0,35771750.0,6,Unknown,USA,283.0,2007,acquired,9,8,5,7,6,10,5,9
Biotechnology,2.0,5337000.0,3,Unknown,USA,1150.0,2006,active,8,9,6,6,7,9,6,8
Biotechnology,2.0,35300000.0,3,Unknown,USA,1236.0,2007,active,8,9,6,6,7,9,6,8
Enterprise Search,1.0,37500.0,1,B2B,USA,4669.0,2005,active,6,6,4,7,4,9,4,9
Enterprise Software,2.0,650000.0,1,B2B,USA,1511.0,2000,failed,6,5,4,8,4,8,5,9
Software,2.0,16000000.0,1,Unknown,USA,8391.0,2010,failed,6,4,3,7,5,5,7,5
Web Hosting,2.0,9664366.0,2,Unknown,AUT,771.0,2005,failed,6,4,5,5,6,5,6,5
Health Care,1.0,15599800.0,4,Unknown,USA,1285.0,2008,ipo,9,8,4,8,6,10,5,9
Biotechnology,2.0,58489918.0,5,Unknown,USA,1511.0,2008,active,9,9,6,6,7,9,6,8
Software,2.0,796000.0,1,Unknown,NOR,5609.0,2006,active,6,5,4,8,4,6,6,6
Social Media,2.0,25000.0,1,B2C,USA,810.0,2013,failed,5,3,2,7,2,4,10,4
Clean Technology,2.0,27680000.0,2,Unknown,USA,178.0,2000,acquired,9,9,10,6,9,7,5,6
Curated Web,2.0,300000.0,1,B2C,ISR,8445.0,2008,failed,5,3,3,5,3,4,10,4
Mobile,2.0,4588599.0,7,Unknown,USA,539.0,2001,active,7,5,6,9,6,7,5,6
Search,2.0,641000.0,1,Unknown,FRA,570.0,2005,active,6,5,6,6,6,6,5,6
E-Commerce,2.0,6169665.0,1,B2C,CHN,1511.0,1990,active,7,5,5,9,4,6,7,6
Cloud Management,2.0,40000.0,1,B2B,RUS,1511.0,2012,active,6,6,3,9,4,7,5,7
Semiconductors,2.0,7000000.0,1,Unknown,USA,259.0,2003,failed,6,5,7,5,8,5,6,5
Health And Wellness,2.0,17847734.0,4,B2C,USA,516.0,2003,ipo,10,8,6,8,7,10,5,9
Group Buying,2.0,200000.0,1,Unknown,PHL,5586.0,2010,active,6,5,4,6,4,6,6,5
Utilities,2.0,15130688.0,3,Unknown,USA,1511.0,2011,active,7,5,4,7,5,7,6,6
Public Transportation,2.0,14000000.0,2,Unknown,USA,516.0,2003,acquired,7,5,6,7,6,7,5,6
Software,2.0,3073977.0,2,Unknown,USA,2318.0,1998,active,7,5,5,8,4,6,6,6
News,2.0,700000.0,1,B2C,USA,1511.0,2011,active,7,5,4,6,4,6,7,6
Public Relations,2.0,38000000.0,2,Unknown,USA,387.0,1999,failed,6,4,6,5,6,6,6,5
Social Media,2.0,7000000.0,2,B2C,USA,12.0,2000,failed,6,3,8,8,5,5,9,4
Clean Technology,2.0,930000.0,1,Unknown,GBR,250.0,2002,failed,6,8,7,4,8,5,6,5
Semiconductors,2.0,55833663.0,5,Unknown,ISR,226.0,2001,failed,7,5,7,5,9,6,6,5
Consumer Electronics,2.0,10000000.0,1,B2C,USA,494.0,2002,failed,6,4,5,6,6,5,9,5
Marketplaces,2.0,25765820.0,2,Unknown,USA,93.0,1990,acquired,8,5,8,9,6,7,5,6
Technology,2.0,6100000.0,2,Unknown,USA,3233.0,2008,ipo,8,6,4,7,5,8,5,6
Event Management,1.0,136911999.0,3,Unknown,USA,2602.0,1999,active,8,5,5,7,5,7,6,6
E-Commerce,1.0,17620401.0,7,B2C,USA,3265.0,2007,ipo,9,6,4,10,6,8,6,6
Education,2.0,340000.0,1,Unknown,USA,1511.0,2013,active,7,8,3,6,4,6,6,6
Games,1.0,120000.0,1,B2C,USA,3280.0,2008,failed,5,3,3,5,2,4,10,4
Health And Wellness,2.0,343000.0,1,B2C,SGP,1511.0,2009,active,8,8,4,6,4,8,7,8
Mobile,2.0,2925000.0,3,Unknown,USA,4079.0,2010,active,7,5,4,8,4,7,6,6
Curated Web,3.0,250000.0,2,B2C,CAN,9634.0,2010,acquired,7,4,4,7,3,6,9,5
Mobile,2.0,343500.0,2,Unknown,USA,1511.0,2013,active,6,5,3,8,4,6,6,6
Biotechnology,2.0,93600000.0,5,Unknown,USA,1150.0,2006,ipo,10,9,6,7,8,10,5,9
Health Care,1.0,101500000.0,5,Unknown,USA,927.0,2011,ipo,10,8,4,8,6,10,5,9
Web Hosting,1.0,42500000.0,4,Unknown,USA,1281.0,2005,acquired,8,5,4,7,5,8,6,6
Software,1.0,5800000.0,1,Unknown,USA,6870.0,2007,failed,6,4,3,7,4,5,7,5
Real Estate,3.0,4500000.0,3,Unknown,USA,209.0,2011,acquired,7,5,5,7,6,7,5,6
Enterprises,1.0,3000000.0,1,B2B,USA,2249.0,2009,active,7,6,4,7,4,10,4,10
Employment,2.0,200000.0,1,Unknown,USA,8445.0,2008,failed,5,4,3,5,4,5,7,5
Finance,2.0,795854.0,1,Unknown,SWE,5609.0,2006,active,7,8,4,6,4,8,5,8
Enterprise Software,1.0,34965544.0,4,B2B,USA,320.0,1997,active,8,6,7,10,6,10,3,10
Biotechnology,2.0,3254737.0,1,Unknown,USA,1285.0,2008,failed,7,8,5,4,7,7,7,7
Enterprise Software,2.0,8630000.0,1,B2B,USA,2602.0,1999,acquired,8,6,5,10,4,10,4,10
Biotechnology,2.0,34300806.0,1,Unknown,GBR,1511.0,2002,ipo,9,9,7,7,8,10,5,9
Photography,2.0,1265000.0,1,B2C,USA,5609.0,2006,active,7,5,4,6,4,6,7,6
Analytics,2.0,42786202.0,5,B2B,USA,93.0,2003,active,8,6,7,10,6,10,3,10
Legal,2.0,250000.0,3,Unknown,USA,248.0,2011,active,8,8,5,6,6,8,4,8
Video,2.0,4113526.0,1,B2C,USA,1511.0,2003,ipo,8,6,5,7,5,7,6,6
Health And Wellness,1.0,16750000.0,7,B2C,USA,536.0,2011,active,9,8,5,7,6,9,6,8
Software,2.0,7000000.0,1,Unknown,USA,1978.0,1997,acquired,7,5,5,9,4,7,6,6
Technology,1.0,58121250.0,3,Unknown,USA,539.0,2001,ipo,8,6,6,8,7,8,4,7
Minerals,2.0,1100000.0,1,Unknown,CAN,1511.0,2008,ipo,7,6,4,7,5,7,5,6
Advertising,3.0,20000.0,1,Unknown,USA,3511.0,2010,failed,5,4,3,6,4,4,7,4
Travel,2.0,1000000.0,1,B2C,USA,836.0,1999,active,6,4,5,6,3,6,9,5
Social Media,2.0,6000000.0,1,B2C,CAN,1053.0,2008,ipo,8,4,4,9,4,7,8,5
Health Care,2.0,107000000.0,3,Unknown,USA,1236.0,2007,ipo,9,8,4,8,6,10,5,9
Curated Web,3.0,675000.0,2,B2C,USA,9634.0,2010,acquired,7,4,4,7,3,6,9,5
Clean Technology,2.0,277116726.0,7,Unknown,USA,426.0,2004,ipo,10,9,8,7,10,9,4,7
E-Commerce,3.0,126080.0,1,B2C,FRA,4252.0,2008,failed,5,4,3,7,4,5,8,5
Security,1.0,5000000.0,1,B2B,USA,319.0,2006,acquired,9,8,5,7,6,10,3,10
Services,2.0,6819266.0,2,Unknown,FRA,1511.0,2007,ipo,8,6,4,7,5,8,5,6
Biotechnology,2.0,2720000.0,1,Unknown,USA,1511.0,2010,active,8,9,6,5,7,8,6,8
Mobile,2.0,5000000.0,2,Unknown,USA,3233.0,2008,failed,6,4,3,7,4,5,7,5
Online Travel,2.0,1500000.0,1,B2C,USA,5396.0,2006,active,6,4,4,6,3,6,9,5
Enterprise Software,2.0,3000000.0,1,B2B,USA,1661.0,2007,failed,6,5,3,8,4,9,5,9
Mobile,1.0,445000.0,1,Unknown,USA,3774.0,2011,failed,5,4,3,7,4,5,7,5
Social Media Marketing,1.0,16447317.0,11,B2B2C,CAN,1511.0,2009,ipo,8,4,4,10,4,8,7,6
Biotechnology,1.0,250000.0,2,Unknown,USA,1236.0,2007,active,7,9,6,5,7,8,6,8
Health Care,2.0,29942849.0,4,Unknown,USA,75.0,1998,active,8,8,8,7,6,9,5,8
Networking,1.0,325000.0,2,Unknown,USA,669.0,2009,failed,5,4,4,5,6,5,6,5
Shipping,2.0,20000.0,1,Unknown,USA,1511.0,2014,active,6,5,3,5,4,6,6,5
Mobile,2.0,1201000.0,2,Unknown,USA,4079.0,2010,acquired,7,5,4,8,4,7,6,6
Mobile,2.0,25131611.0,3,Unknown,USA,539.0,2001,acquired,8,5,6,9,6,7,5,6
Software,2.0,1000000.0,1,Unknown,USA,2862.0,2000,failed,5,4,4,7,4,5,7,5
Software,3.0,4200000.0,4,Unknown,USA,7534.0,2011,acquired,7,5,4,9,4,7,6,6
Software,2.0,2000000.0,1,Unknown,USA,8440.0,2009,failed,5,4,3,7,4,5,7,5
Startups,1.0,2000000.0,1,Unknown,USA,1354.0,2012,active,6,5,3,6,4,6,6,6
Apps,1.0,20000.0,1,Unknown,USA,194.0,2010,active,6,5,6,5,5,6,5,5
Social Media Marketing,2.0,37000000.0,4,B2B2C,USA,2003.0,2008,active,7,4,4,9,3,7,8,5
Advertising,2.0,4000000.0,1,Unknown,USA,5609.0,2006,acquired,7,5,4,8,4,7,6,6
Social Media,2.0,3292000.0,2,B2C,NZL,4079.0,2010,ipo,8,4,4,9,4,7,8,5
Energy,2.0,600000.0,1,Unknown,USA,1511.0,2011,active,6,5,4,6,4,6,6,6
Health Care,2.0,23700000.0,3,Unknown,ISR,115.0,2000,ipo,9,8,8,8,7,10,4,9
Curated Web,2.0,17000000.0,2,B2C,CAN,2773.0,2004,ipo,8,4,5,8,4,7,8,5
Advertising,2.0,1800000.0,1,Unknown,SGP,3511.0,2010,active,6,5,4,8,4,6,6,6
Enterprise Software,2.0,500000.0,1,B2B,USA,1364.0,2013,failed,6,5,2,8,4,8,5,9
Craigslist Killers,2.0,15000000.0,1,Unknown,USA,3774.0,2011,active,7,5,4,6,5,7,6,6
Semiconductors,2.0,7484035.0,3,Unknown,BEL,173.0,2007,acquired,8,6,8,7,8,7,5,6
Finance,2.0,7228704.0,5,Unknown,USA,514.0,2009,failed,7,7,4,6,6,8,5,7
Public Transportation,2.0,27804097.0,3,Unknown,CHN,1511.0,2007,active,7,5,4,7,5,7,6,6
Brand Marketing,2.0,60000.0,2,B2B,USA,1511.0,2013,active,7,6,3,7,4,7,5,7
Education,1.0,100000.0,1,Unknown,USA,1354.0,2012,failed,6,7,2,5,4,5,7,5
Web Hosting,2.0,36000000.0,2,Unknown,IND,377.0,1999,acquired,8,5,7,7,6,7,5,6
E-Commerce,2.0,500000.0,1,B2C,IDN,4647.0,2012,failed,6,4,2,7,4,5,8,5
Local,2.0,100000.0,1,Unknown,NGA,1174.0,2010,failed,5,4,3,5,4,5,7,5
Medical,2.0,10000000.0,1,Unknown,USA,1511.0,2002,ipo,9,9,7,6,8,7,5,6
Teachers,2.0,1000000.0,2,Unknown,USA,1227.0,2013,active,7,5,3,6,4,6,6,6
Gift Card,1.0,25000.0,1,Unknown,USA,1090.0,2007,failed,5,4,3,4,4,4,7,5
Consulting,1.0,30000000.0,1,Unknown,USA,758.0,2000,active,7,5,7,6,6,7,5,6
Enterprise Software,2.0,2200000.0,1,B2B,FRA,1661.0,2007,acquired,7,6,4,9,4,10,4,10
Health And Wellness,2.0,6171709.0,1,B2C,CAN,1511.0,2003,active,8,8,4,7,4,8,7,8
Software,2.0,15574.0,1,Unknown,DEU,7617.0,2008,failed,5,4,3,6,4,4,7,4
Mobile,2.0,99670000.0,8,Unknown,USA,539.0,2001,failed,7,4,5,8,6,6,6,5
Oil & Gas,2.0,1500000.0,1,Unknown,USA,1511.0,2004,ipo,7,6,5,7,5,7,5,6
Software,2.0,1500000.0,1,Unknown,USA,3702.0,2003,acquired,7,5,4,8,4,7,6,6
Networking,2.0,15107000.0,2,Unknown,SGP,9634.0,2010,failed,6,4,3,5,5,5,7,5
Biotechnology,2.0,11187700.0,3,Unknown,FRA,999.0,2004,acquired,9,9,6,7,7,9,6,9
Analytics,2.0,5250000.0,2,B2B,USA,684.0,2011,active,7,6,5,9,6,10,3,10
Nanotechnology,1.0,25633837.0,8,Unknown,USA,17.0,2002,active,8,6,10,6,10,7,5,6
Biotechnology,2.0,16192468.0,3,Unknown,GBR,660.0,2000,failed,7,8,8,5,9,8,6,7
Ad Targeting,2.0,89000000.0,2,Unknown,GBR,841.0,2002,ipo,8,6,5,7,6,8,5,7
Games,2.0,12000000.0,2,B2C,USA,2169.0,2006,failed,6,3,3,6,3,5,10,4
Social Media,2.0,225000.0,2,B2C,USA,265.0,2007,failed,5,3,4,7,4,4,9,4
Events,3.0,1000000.0,1,Unknown,PRT,274.0,2011,active,6,5,5,6,6,6,5,6
Health Care,2.0,15000000.0,1,Unknown,USA,94.0,1999,acquired,8,8,8,7,6,9,5,9
Education,2.0,2800000.0,1,Unknown,GBR,1511.0,2006,active,8,8,4,6,4,6,6,6
Software,2.0,199000.0,1,Unknown,GBR,761.0,1998,active,6,5,7,8,6,6,5,5
E-Commerce,2.0,100000.0,1,B2C,GBR,5210.0,2011,active,6,5,4,8,4,6,7,5
Health Care,2.0,75328948.0,3,Unknown,USA,1511.0,2002,ipo,9,8,5,8,6,10,5,9
Education,2.0,100000.0,1,Unknown,USA,9638.0,2009,failed,6,7,3,5,4,5,7,5
Hardware + Software,2.0,15000000.0,1,Unknown,USA,1511.0,1998,active,7,5,5,8,7,7,6,6
Digital Signage,2.0,60700000.0,2,Unknown,USA,1021.0,2010,ipo,8,6,4,7,6,8,5,7
Social Media,2.0,40000.0,1,B2C,MYS,1511.0,2012,active,6,4,3,8,2,5,9,4
Consulting,2.0,15000.0,1,Unknown,USA,1485.0,2012,failed,5,4,2,4,4,4,7,4
Biotechnology,2.0,23300002.0,7,Unknown,USA,1285.0,2008,active,9,9,6,6,7,9,6,8
Software,2.0,25260000.0,2,Unknown,IND,109.0,1992,active,7,5,8,8,6,7,5,6
Mobile Payments,2.0,34100000.0,3,Unknown,USA,137.0,2004,acquired,8,5,7,9,6,7,5,6
Manufacturing,2.0,3636603.0,1,B2B,GBR,116.0,2006,active,7,6,6,7,6,8,4,7
Content,2.0,500000.0,1,Unknown,CAN,972.0,2009,active,6,5,4,6,4,6,6,6
Nonprofits,1.0,1000000.0,1,Unknown,USA,88.0,2011,active,6,5,6,6,6,6,5,6
Semantic Web,2.0,11900000.0,3,Unknown,USA,5396.0,2006,acquired,8,5,4,7,4,7,6,6
Biotechnology,2.0,1000000.0,1,Unknown,USA,1264.0,2009,active,7,9,6,5,7,8,6,8
Semiconductors,2.0,64000000.0,3,Unknown,USA,259.0,2003,acquired,8,6,8,7,9,8,5,6
Software,2.0,4346500.0,3,Unknown,USA,3702.0,2003,ipo,8,6,5,9,5,8,5,6
Sensors,1.0,734790.0,2,Unknown,BEL,3774.0,2011,failed,5,4,3,5,4,5,7,5
Health Care,1.0,30000000.0,1,Unknown,USA,1511.0,2003,ipo,9,8,5,7,6,10,5,9
Event Management,2.0,9542943.0,1,Unknown,GBR,1511.0,2004,active,7,5,4,6,4,6,6,6
Lead Generation,1.0,300000.0,1,Unknown,USA,3166.0,2008,failed,5,4,3,5,4,5,7,5
Mobile,3.0,16600000.0,5,Unknown,USA,1737.0,2006,acquired,8,5,4,9,5,8,6,6
App Marketing,2.0,1000000.0,1,B2B,USA,1511.0,2012,ipo,8,6,4,8,5,9,5,8
Automotive,2.0,10850000.0,4,Unknown,USA,71.0,2008,failed,6,4,5,6,6,6,6,5
Biotechnology,1.0,15000000.0,1,Unknown,USA,1511.0,1992,ipo,9,9,8,7,8,10,5,9
Freelancers,2.0,150000.0,1,Unknown,CAN,9638.0,2009,active,6,5,4,6,4,6,6,5
Cloud Data Services,1.0,21000000.0,1,B2B,IND,856.0,2004,failed,6,5,3,8,5,7,6,6
Biotechnology,2.0,72800000.0,1,Unknown,CHN,1511.0,2011,ipo,9,9,6,7,8,10,5,9
Games,1.0,25000.0,2,B2C,USA,2723.0,2007,failed,5,3,3,5,2,4,10,4
Security,1.0,1250000.0,1,B2B,CAN,3132.0,2001,failed,7,7,3,6,4,8,5,9
Media,1.0,1500000.0,1,B2C,CAN,5609.0,2006,ipo,7,4,4,7,4,7,6,5
Health Care,2.0,4500000.0,1,Unknown,CHE,214.0,2004,failed,7,7,5,5,6,7,6,7
Mobile,2.0,5576096.0,3,Unknown,USA,1511.0,2007,failed,6,4,3,7,4,5,7,5
Mobile,2.0,10200000.0,1,Unknown,GBR,390.0,1999,ipo,8,6,7,9,7,7,4,6
Entertainment,2.0,7700000.0,2,B2C,USA,3774.0,2011,active,7,4,4,7,3,6,9,5
Mobile Payments,2.0,127700000.0,9,Unknown,USA,1511.0,2004,ipo,9,6,5,10,6,8,5,7
Services,2.0,30000000.0,2,Unknown,USA,1511.0,2000,acquired,8,5,5,7,5,7,6,6
Clean Technology,2.0,52893000.0,4,Unknown,USA,531.0,2005,active,8,9,8,6,9,7,5,6
Mobile,2.0,1000000.0,1,Unknown,USA,3969.0,2009,failed,5,4,3,7,4,5,7,5
Diabetes,2.0,2250000.0,1,Unknown,USA,585.0,2010,acquired,7,5,5,6,6,7,5,6
Web Development,1.0,16000000.0,2,Unknown,FRA,4004.0,2005,acquired,7,5,4,7,5,7,6,6
Design,1.0,600000.0,1,Unknown,USA,133.0,2011,active,6,5,6,6,6,6,5,6
Software,2.0,1347498.0,2,Unknown,USA,5609.0,2006,failed,6,4,3,7,4,5,7,5
Curated Web,4.0,120000.0,1,B2C,USA,8589.0,2011,active,6,4,4,6,2,5,9,4
Software,2.0,21678600.0,3,Unknown,USA,1511.0,1998,ipo,8,6,6,10,6,8,5,6
Security,2.0,25000.0,1,B2B,USA,436.0,2009,failed,6,7,4,5,5,8,4,9
Education,2.0,964000.0,1,Unknown,IND,1303.0,2001,failed,6,7,3,5,4,5,7,5
Ipad,2.0,100000.0,1,Unknown,USA,668.0,2013,active,6,5,5,6,5,6,5,5
Biotechnology,1.0,99051350.0,5,Unknown,USA,1236.0,2007,ipo,10,9,6,7,8,10,5,9
Crm,2.0,100000000.0,1,B2B,CAN,548.0,1991,ipo,8,6,7,8,7,9,3,8
Comparison Shopping,2.0,3345.0,1,Unknown,GBR,1511.0,2014,active,5,5,3,5,4,5,6,5
Clean Technology,2.0,2806096.0,5,Unknown,USA,720.0,2009,failed,7,8,6,5,8,6,6,5
Advertising,1.0,28176.0,1,Unknown,GBR,3128.0,2011,failed,5,4,3,6,4,4,7,5
Fashion,2.0,40000.0,1,B2C,CHL,1511.0,2012,active,6,4,3,6,2,5,9,4
Health And Wellness,2.0,200000.0,1,B2C,USA,63.0,1996,failed,7,7,7,5,6,7,7,7
Biotechnology,2.0,89400001.0,4,Unknown,USA,1236.0,2007,acquired,9,9,6,7,7,10,6,9
Software,2.0,300000.0,1,Unknown,CAN,1511.0,2008,ipo,7,6,4,9,5,7,5,6
Reviews And Recommendations,2.0,100000.0,1,Unknown,ARG,9638.0,2009,failed,5,4,3,5,4,5,7,5
Hardware + Software,2.0,5000000.0,1,Unknown,USA,1511.0,1996,active,7,5,5,8,7,6,6,6
Software,2.0,200000.0,1,Unknown,USA,1511.0,1990,active,6,5,5,8,4,6,6,5
Enterprise Software,2.0,60000.0,1,B2B,USA,2008.0,2011,failed,5,5,3,8,4,8,5,9
News,1.0,18000000.0,2,B2C,NZL,351.0,2010,failed,7,4,4,6,6,5,7,5
Sports,1.0,1250000.0,1,B2C,USA,199.0,2011,active,6,4,6,6,4,6,6,5
Enterprise Software,2.0,13000000.0,1,B2B,USA,1978.0,1997,active,7,6,5,9,4,10,4,10
Enterprise Software,2.0,15000000.0,1,B2B,USA,254.0,1996,active,7,6,7,9,6,10,3,10
Mobile,2.0,100000.0,1,Unknown,USA,792.0,2003,active,6,5,6,8,5,6,5,5
Biotechnology,2.0,1300000.0,1,Unknown,AUS,1511.0,1990,ipo,8,9,8,6,8,9,5,9
Business Services,1.0,96627980.0,5,Unknown,USA,59.0,2005,ipo,9,6,7,8,7,8,4,7
Software,2.0,11866483.0,3,Unknown,USA,4669.0,2005,acquired,8,5,4,9,4,7,6,6
Classifieds,2.0,1230000.0,3,Unknown,CHL,192.0,2012,active,7,5,6,6,6,6,5,6
Web Hosting,2.0,10000000.0,1,Unknown,USA,2602.0,1999,acquired,7,5,5,7,4,7,6,6
Clean Technology,2.0,13000000.0,1,Unknown,USA,720.0,2009,failed,7,8,6,5,8,5,6,5
Biotechnology,2.0,99000000.0,2,Unknown,USA,431.0,1997,ipo,9,9,9,7,10,10,4,9
Biotechnology,2.0,57777000.0,3,Unknown,USA,1236.0,2007,ipo,9,9,6,7,8,10,5,9
Biotechnology,2.0,73895000.0,4,Unknown,USA,1511.0,1998,ipo,9,9,8,7,8,10,5,9
Web Development,2.0,329250.0,1,Unknown,IRL,927.0,2007,failed,5,4,3,5,4,5,7,5
Health Care,2.0,121847684.0,5,Unknown,USA,1511.0,2006,ipo,10,8,4,8,6,10,5,9
Social Media,2.0,600000.0,1,B2C,USA,866.0,2012,failed,5,3,2,7,3,4,10,4
Enterprise Software,2.0,56309183.0,4,B2B,USA,1511.0,1996,ipo,9,6,6,10,6,10,4,10
Semiconductors,2.0,58000000.0,7,Unknown,USA,248.0,2002,acquired,8,6,8,7,9,8,5,6
Advertising,2.0,13096022.0,6,Unknown,USA,672.0,2002,ipo,8,6,6,9,7,8,4,6
Legal,2.0,8500000.0,2,Unknown,USA,4004.0,2005,acquired,8,8,4,7,4,9,5,9
E-Commerce,2.0,45000000.0,1,B2C,USA,101.0,1991,active,8,5,8,9,6,7,6,6
Biotechnology,2.0,19000000.0,2,Unknown,USA,1511.0,2004,active,8,9,6,6,7,9,6,8
Analytics,2.0,125000.0,2,B2B,USA,634.0,2012,failed,6,5,4,8,6,8,4,9
Fashion,2.0,1975000.0,2,B2C,USA,314.0,2011,active,7,4,5,6,4,6,8,5
Location Based Services,2.0,2940000.0,1,Unknown,CAN,2710.0,2007,acquired,7,5,4,6,4,7,6,6
Collaboration,2.0,125000.0,2,Unknown,USA,1511.0,2007,active,6,5,4,6,4,6,6,5
Cloud Computing,2.0,650000.0,1,B2B,USA,2003.0,2008,acquired,7,6,4,9,4,8,5,7
Big Data,1.0,13000000.0,1,Unknown,USA,1511.0,2012,active,7,5,3,6,4,6,6,6
Sms,2.0,1000000.0,1,Unknown,USA,1737.0,2006,failed,5,4,3,5,4,5,7,5
Biotechnology,2.0,4000000.0,2,Unknown,SGP,1511.0,2010,ipo,9,9,6,6,8,10,5,9
Health Care,1.0,177000000.0,5,Unknown,USA,723.0,2001,ipo,10,8,6,8,7,10,4,9
Data Centers,1.0,300000000.0,1,Unknown,CHE,181.0,1995,ipo,8,6,8,7,7,8,4,7
Biotechnology,2.0,42820000.0,5,Unknown,USA,558.0,2013,ipo,10,9,7,7,10,10,4,9
Curated Web,1.0,3600000.0,2,B2C,USA,4004.0,2005,failed,6,3,3,5,3,5,10,4
Hardware + Software,2.0,255000.0,1,Unknown,USA,105.0,1993,active,6,5,8,8,8,6,5,6
Search,2.0,300000.0,1,Unknown,USA,403.0,2004,acquired,7,5,6,6,6,7,5,6
Games,2.0,100000.0,1,B2C,USA,1511.0,2010,active,6,4,4,6,2,5,9,4
Mobile,2.0,1892250.0,1,Unknown,FRA,3233.0,2008,failed,5,4,3,7,4,5,7,5
Mobile,2.0,800000.0,1,Unknown,USA,3969.0,2009,acquired,7,5,4,8,4,7,6,6
3D,1.0,390000.0,1,Unknown,CHN,5586.0,2010,failed,5,4,3,5,4,5,7,5
Recruiting,2.0,3200000.0,2,B2B,USA,8589.0,2011,acquired,8,6,4,7,4,8,5,8
Biotechnology,2.0,25000000.0,1,Unknown,USA,512.0,1998,acquired,8,9,9,6,9,9,5,9
Oil,2.0,297920000.0,4,Unknown,USA,682.0,2007,ipo,9,6,6,8,7,8,4,7
Mobile,2.0,1600000.0,1,Unknown,ARE,2888.0,2013,active,6,5,3,8,4,6,6,6
Design,2.0,250000.0,1,Unknown,GBR,1511.0,2014,active,6,5,3,6,4,6,6,6
Ios,2.0,30991.0,1,Unknown,SWE,1511.0,2013,active,6,5,3,6,4,6,6,5
Software,2.0,199000.0,1,Unknown,GBR,6544.0,2007,failed,5,4,3,7,4,5,7,5
Biotechnology,2.0,65982896.0,3,Unknown,USA,1511.0,2004,ipo,9,9,7,7,8,10,5,9
Renewable Energies,2.0,15000003.0,1,Unknown,USA,1511.0,2006,active,7,5,4,6,5,7,6,6
World Domination,1.0,33350.0,1,Unknown,PRT,3749.0,2012,active,6,5,3,6,4,6,6,5
Software,2.0,19000000.0,2,Unknown,USA,3702.0,2003,failed,6,4,3,7,5,5,7,5
Mobile,2.0,2100000.0,2,Unknown,USA,1737.0,2006,failed,6,4,3,7,4,5,7,5
Biotechnology,2.0,26107993.0,9,Unknown,USA,1511.0,2001,ipo,10,9,7,7,8,10,5,9
Forums,1.0,1500000.0,1,Unknown,USA,5396.0,2006,failed,5,4,3,5,4,5,7,5
Music,2.0,2251000.0,2,B2C,USA,8445.0,2008,failed,6,3,3,5,3,5,8,4
